data_state,county,poverty_estimate,poverty_percentage
GA,Wilkes,"1,965",20.3
GA,Wilkinson,"2,062",23.3
GA,Worth,"4,128",20.5
HI,Hawaii,"30,903",15.6
HI,Honolulu,"73,345",7.7
HI,Kalawao,.,.
HI,Kauai,"6,021",8.5
HI,Maui,"14,130",8.6
ID,Ada,"44,434",9.7
ID,Adams,554,13.2
ID,Bannock,"11,768",13.8
ID,Bear Lake,642,10.7
ID,Benewah,"1,342",14.7
ID,Bingham,"5,510",12.0
ID,Blaine,"1,575",7.0
ID,Boise,974,12.8
ID,Bonner,"6,240",14.1
ID,Bonneville,"12,262",10.6
ID,Boundary,"1,603",13.5
ID,Butte,392,15.1
ID,Camas,109,9.7
ID,Canyon,"25,416",11.5
ID,Caribou,624,8.9
ID,Cassia,"3,046",13.0
ID,Clark,132,15.5
ID,Clearwater,"1,242",15.5
ID,Custer,625,14.7
ID,Elmore,"3,435",12.9
ID,Franklin,"1,194",8.8
ID,Fremont,"1,940",15.3
ID,Gem,"2,338",13.4
ID,Gooding,"2,071",13.7
ID,Idaho,"2,587",16.2
ID,Jefferson,"2,657",9.1
ID,Jerome,"2,974",12.5
ID,Kootenai,"16,417",10.3
ID,Latah,"4,737",12.7
ID,Lemhi,"1,154",14.7
ID,Lewis,542,14.2
ID,Lincoln,731,13.8
ID,Madison,"9,232",23.9
ID,Minidoka,"2,577",12.4
ID,Nez Perce,"5,223",13.3
ID,Oneida,502,11.3
ID,Owyhee,"1,692",14.7
ID,Payette,"2,988",12.8
ID,Power,"1,056",13.7
ID,Shoshone,"2,371",18.8
ID,Teton,888,7.6
ID,Twin Falls,"11,547",13.6
ID,Valley,921,8.4
ID,Washington,"1,537",15.3
IL,Adams,"7,803",12.3
IL,Alexander,"1,650",27.6
IL,Bond,"2,075",13.8
IL,Boone,"4,909",9.2
IL,Brown,674,14.8
IL,Bureau,"3,751",11.6
IL,Calhoun,520,11.0
IL,Carroll,"1,598",11.4
IL,Cass,"1,448",12.0
IL,Champaign,"37,121",19.2
IL,Christian,"3,882",12.5
IL,Clark,"1,702",11.1
IL,Clay,"1,865",14.3
IL,Clinton,"2,924",8.2
IL,Coles,"9,554",20.0
IL,Cook,"701,869",13.8
IL,Crawford,"2,052",11.8
IL,Cumberland,"1,248",11.7
IL,DeKalb,"12,877",13.1
IL,De Witt,"1,707",11.0
IL,Douglas,"1,764",9.2
IL,DuPage,"60,169",6.6
IL,Edgar,"2,297",13.5
IL,Edwards,701,11.1
IL,Effingham,"3,277",9.7
IL,Fayette,"2,924",14.9
IL,Ford,"1,248",9.7
IL,Franklin,"7,358",19.4
IL,Fulton,"4,559",14.2
IL,Gallatin,"1,029",20.5
IL,Greene,"1,772",13.9
IL,Grundy,"2,991",5.9
IL,Hamilton,990,12.3
IL,Hancock,"1,955",11.1
IL,Hardin,778,20.0
IL,Henderson,748,11.3
IL,Henry,"5,558",11.5
IL,Iroquois,"2,669",9.9
IL,Jackson,"13,868",25.7
IL,Jasper,972,10.2
IL,Jefferson,"5,811",16.3
IL,Jersey,"1,864",8.9
IL,Jo Daviess,"1,656",7.8
IL,Johnson,"1,364",12.2
IL,Kane,"45,180",8.6
IL,Kankakee,"16,873",16.2
IL,Kendall,"5,332",4.2
IL,Knox,"7,558",16.4
IL,Lake,"54,353",8.0
IL,La Salle,"14,384",13.6
IL,Lawrence,"2,326",17.5
IL,Lee,"3,148",10.1
IL,Livingston,"4,220",12.6
IL,Logan,"2,706",10.9
IL,McDonough,"5,821",21.9
IL,McHenry,"18,136",5.9
IL,McLean,"23,366",14.4
IL,Macon,"17,557",17.4
IL,Macoupin,"5,740",12.9
IL,Madison,"35,925",13.8
IL,Marion,"7,154",19.5
IL,Marshall,"1,066",9.5
IL,Mason,"1,948",14.6
IL,Massac,"2,377",17.2
IL,Menard,"1,092",9.0
IL,Mercer,"1,387",9.0
IL,Monroe,"1,446",4.3
IL,Montgomery,"3,754",14.4
IL,Morgan,"4,694",15.2
IL,Moultrie,"1,373",9.6
IL,Ogle,"4,223",8.4
IL,Peoria,"29,227",16.6
IL,Perry,"3,327",17.8
IL,Piatt,"1,192",7.3
IL,Pike,"2,129",14.1
IL,Pope,763,18.6
IL,Pulaski,"1,074",19.7
IL,Putnam,484,8.5
IL,Randolph,"3,834",13.8
IL,Richland,"2,311",15.0
IL,Rock Island,"19,754",14.2
IL,St. Clair,"38,065",14.8
IL,Saline,"4,692",20.3
IL,Sangamon,"25,172",13.1
IL,Schuyler,778,11.4
IL,Scott,499,10.3
IL,Shelby,"2,191",10.2
IL,Stark,594,11.2
IL,Stephenson,"5,555",12.7
IL,Tazewell,"12,465",9.6
IL,Union,"2,902",17.4
IL,Vermilion,"14,256",19.3
IL,Wabash,"1,645",14.4
IL,Warren,"2,069",12.9
IL,Washington,"1,016",7.4
IL,Wayne,"2,234",13.8
IL,White,"1,637",12.3
IL,Whiteside,"5,732",10.5
IL,Will,"44,038",6.4
IL,Williamson,"9,356",14.4
IL,Winnebago,"45,006",16.1
IL,Woodford,"2,662",7.1
IN,Adams,"4,056",11.6
IN,Allen,"49,641",13.5
IN,Bartholomew,"8,238",10.1
IN,Benton,985,11.5
IN,Blackford,"1,651",14.1
IN,Boone,"3,585",5.4
IN,Brown,"1,519",10.1
IN,Carroll,"1,756",8.8
IN,Cass,"5,004",13.5
IN,Clark,"12,975",11.2
IN,Clay,"3,545",13.8
IN,Clinton,"3,732",11.9
IN,Crawford,"1,654",15.8
IN,Daviess,"3,752",11.5
IN,Dearborn,"4,577",9.4
IN,Decatur,"3,077",11.7
IN,De Kalb,"4,309",10.1
IN,Delaware,"23,799",22.5
IN,Dubois,"3,155",7.6
IN,Elkhart,"23,202",11.5
IN,Fayette,"3,280",14.5
IN,Floyd,"7,231",9.5
IN,Fountain,"1,799",11.2
IN,Franklin,"1,939",8.6
IN,Fulton,"2,684",13.6
IN,Gibson,"3,460",10.6
IN,Grant,"12,140",19.9
IN,Greene,"4,423",14.0
IN,Hamilton,"13,797",4.2
IN,Hancock,"4,236",5.6
IN,Harrison,"3,690",9.3
IN,Hendricks,"9,657",5.9
IN,Henry,"6,434",14.4
IN,Howard,"9,942",12.3
IN,Huntington,"3,532",10.1
IN,Jackson,"5,183",12.0
IN,Jasper,"3,037",9.4
IN,Jay,"2,653",13.0
IN,Jefferson,"4,663",15.5
IN,Jennings,"4,026",14.8
IN,Johnson,"11,784",7.7
IN,Knox,"5,447",15.7
IN,Kosciusko,"6,949",9.0
IN,Lagrange,"3,018",7.8
IN,Lake,"74,864",15.7
IN,La Porte,"16,212",15.7
IN,Lawrence,"5,629",12.5
IN,Madison,"20,908",17.0
IN,Marion,"160,661",17.2
IN,Marshall,"5,212",11.5
IN,Martin,"1,186",11.8
IN,Miami,"5,172",16.1
IN,Monroe,"28,177",21.4
IN,Montgomery,"4,006",10.8
IN,Morgan,"7,339",10.6
IN,Newton,"1,418",10.3
IN,Noble,"4,224",9.1
IN,Ohio,560,9.7
IN,Orange,"2,979",15.6
IN,Owen,"2,597",12.6
IN,Parke,"2,406",15.7
IN,Perry,"2,167",12.4
IN,Pike,"1,345",11.1
IN,Porter,"14,826",8.9
IN,Posey,"2,311",9.2
IN,Pulaski,"1,494",12.2
IN,Putnam,"3,978",12.2
IN,Randolph,"3,322",13.6
IN,Ripley,"3,117",11.1
IN,Rush,"1,760",10.7
IN,St. Joseph,"35,068",13.5
IN,Scott,"3,642",15.5
IN,Shelby,"5,065",11.6
IN,Spencer,"1,839",9.2
IN,Starke,"2,512",11.0
IN,Steuben,"3,638",11.0
IN,Sullivan,"2,513",13.7
IN,Switzerland,"1,873",17.7
IN,Tippecanoe,"32,114",18.1
IN,Tipton,"1,250",8.4
IN,Union,742,10.7
IN,Vanderburgh,"26,349",15.1
IN,Vermillion,"2,306",15.2
